gid,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,layer,path
1,"sociedad de fomento santa paula
",,,,,,-1,0,-1,,,SociedadFomento-Santa Paula SP.kmz,C:\mapas homogeneos TESIS DOCTORAL\sociedad fomento-vecinal\SociedadFomento-Santa Paula.kmz|layername=SP.kmz
2,Sociedad de Fomento - Barrio Gloria de la Peregrina,,,,,,-1,0,-1,,,Sociedad de Fomento - Barrio Gloria de la Peregrina Sociedad de Fomento - Barrio Gloria de la Peregrina.kmz,C:\mapas homogeneos TESIS DOCTORAL\sociedad fomento-vecinal\Sociedad de Fomento - Barrio Gloria de la Peregrina.kmz|layername=Sociedad de Fomento - Barrio Gloria de la Peregrina.kmz
3,Sociedad de Vecinos Sierra de los Padres,,,,,,-1,0,-1,,,Sociedad de Vecinos Sierra de los Padres Sociedad de Vecinos Sierra de los Padres.kmz,C:\mapas homogeneos TESIS DOCTORAL\sociedad fomento-vecinal\Sociedad de Vecinos Sierra de los Padres.kmz|layername=Sociedad de Vecinos Sierra de los Padres.kmz
