gid,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,layer,path
1,Biblioteca Municipal Laguna de los Padres,,,,,,-1,0,-1,,,Biblioteca Municipal Laguna de los Padres Biblioteca Municipal Laguna de los Padres.kmz,C:\mapas homogeneos TESIS DOCTORAL\bibliotecas\Biblioteca Municipal Laguna de los Padres.kmz|layername=Biblioteca Municipal Laguna de los Padres.kmz
2,Biblioteca Pública Municipal Sierra de Los Padres,,,,,,-1,0,-1,,,Biblioteca Pública Municipal Sierra de Los Padres Biblioteca Pública Municipal Sierra de Los Padres.kmz,C:\mapas homogeneos TESIS DOCTORAL\bibliotecas\Biblioteca Pública Municipal Sierra de Los Padres.kmz|layername=Biblioteca Pública Municipal Sierra de Los Padres.kmz
