gid,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,layer,path
1,Capilla Nuestra Señora La Peregrina,,,,,,-1,0,-1,,,Capilla Nuestra Señora La Peregrina Capilla Nuestra Señora La Peregrina.kmz,C:\mapas homogeneos TESIS DOCTORAL\iglesias\Capilla Nuestra Señora La Peregrina.kmz|layername=Capilla Nuestra Señora La Peregrina.kmz
2,Capilla Santa Paula,,,,,,-1,0,-1,,,Capilla Santa Paula Capilla Santa Paula.kmz,C:\mapas homogeneos TESIS DOCTORAL\iglesias\Capilla Santa Paula.kmz|layername=Capilla Santa Paula.kmz
3,Parroquia Nuestra Señora del Pilar,,,,,,-1,0,-1,,,Parroquia Nuestra Señora del Pilar Parroquia Nuestra Señora del Pilar.kmz,C:\mapas homogeneos TESIS DOCTORAL\iglesias\Parroquia Nuestra Señora del Pilar.kmz|layername=Parroquia Nuestra Señora del Pilar.kmz
4,Iglesia Evangelica,,,,,,,,,,,,
5,Iglesia Asamblea de Dios,,,,,,,,,,,,
6,Iglesia Jesucristo Es La Respuesta,,,,,,,,,,,,
